
Host: MacBook-Pro-77.local

Timers On : Sun Dec 14 07:46:17 2025
Timers Off: Sun Dec 14 07:46:19 2025

Wall Time:        2.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          :      0.000u      0.000s      0.015w     11 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.000u      0.000s      0.015w     11 calls
PK computes JK                      :      0.000u      0.000s      0.014w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.600u      0.333s      1.017w     10 calls
HF: Form C                          :      0.000u      0.000s      0.008w     10 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.233u      0.033s      0.299w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.090w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.017s      0.070w      1 calls
| SAD Guess                         :      0.050u      0.017s      0.066w      1 calls
HF: Form G                          :      0.000u      0.000s      0.015w     11 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.000u      0.000s      0.015w     11 calls
| | PK computes JK                  :      0.000u      0.000s      0.014w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.600u      0.333s      1.017w     10 calls
HF: Form C                          :      0.000u      0.000s      0.008w     10 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.087w      1 calls

**************************************************************************************
